fips,areaname,cntyname,br0_yr2017,br0_yr2018,br0_yr2019,br0_yr2020,br0_yr2021,br1_yr2017,br1_yr2018,br1_yr2019,br1_yr2020,br1_yr2021,br2_yr2017,br2_yr2018,br2_yr2019,br2_yr2020,br2_yr2021,br3_yr2017,br3_yr2018,br3_yr2019,br3_yr2020,br3_yr2021,br4_yr2017,br4_yr2018,br4_yr2019,br4_yr2020,br4_yr2021
01001,"Montgomery, AL MSA",Autauga County,633,631,620,615,685,735,742,743,741,820,886,890,880,876,972,1136,1133,1112,1105,1229,1536,1558,1532,1504,1628
01003,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,865,786,816,806,821,908,809,835,811,827,1047,929,959,992,1054,1524,1351,1352,1355,1428,1751,1578,1622,1696,1810
01005,"Barbour County, AL",Barbour County,540,527,538,508,519,543,531,541,512,523,722,706,716,674,689,903,885,901,840,857,1031,998,1011,985,965
01007,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,719,749,763,875,891,812,832,824,937,950,937,955,943,1073,1093,1258,1273,1247,1404,1421,1405,1424,1385,1551,1537
01009,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,719,749,763,875,891,812,832,824,937,950,937,955,943,1073,1093,1258,1273,1247,1404,1421,1405,1424,1385,1551,1537
01011,"Bullock County, AL",Bullock County,525,512,539,527,554,528,513,548,539,571,664,643,688,681,734,912,873,912,900,913,915,876,972,976,1077
01013,"Butler County, AL",Butler County,489,478,510,516,523,492,481,514,568,608,654,640,678,667,693,894,855,878,852,862,1152,905,1191,956,1017
01015,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,466,507,485,490,510,506,542,545,556,580,672,721,718,732,764,873,942,941,952,998,979,1099,1095,1121,1156
01017,"Chambers County, AL",Chambers County,506,486,516,532,592,638,615,640,649,688,797,738,764,748,825,997,925,959,972,1060,1099,1005,1059,1070,1160
01019,"Cherokee County, AL",Cherokee County,515,512,520,496,503,518,516,524,500,505,689,686,693,658,666,981,966,933,888,921,984,970,937,891,925
01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,513,564,563,648,657,570,615,597,684,691,658,706,683,779,788,958,1027,988,1124,1128,1159,1243,1200,1224,1172
01023,"Choctaw County, AL",Choctaw County,542,541,541,512,494,545,545,545,516,496,725,725,721,679,654,907,909,903,846,813,1036,1025,1019,920,939
01025,"Clarke County, AL",Clarke County,513,483,492,474,479,538,528,538,507,493,621,606,628,612,634,896,881,908,883,907,1003,978,927,980,930
01027,"Clay County, AL",Clay County,513,513,535,474,479,538,528,549,538,556,621,606,628,612,634,884,881,908,882,868,887,1067,1103,1075,1060
01029,"Cleburne County, AL",Cleburne County,527,516,515,474,479,530,520,519,478,481,705,691,686,629,634,882,866,900,887,892,1009,1136,1205,1104,930
01031,"Coffee County, AL",Coffee County,593,581,606,548,562,600,583,610,576,593,718,686,743,708,744,1045,998,1074,1021,1065,1265,1208,1305,1243,1273
01033,"Florence-Muscle Shoals, AL MSA",Colbert County,560,561,564,526,562,564,564,568,597,621,713,713,717,755,801,950,945,943,966,1010,1156,1183,1201,1259,1299
01035,"Conecuh County, AL",Conecuh County,464,453,474,474,479,467,456,478,510,532,621,606,628,612,634,884,854,884,874,907,887,857,887,878,930
01037,"Coosa County, AL",Coosa County,565,541,546,536,549,568,541,550,539,552,714,679,727,710,727,954,915,922,885,904,1020,960,1027,1018,1067
01039,"Covington County, AL",Covington County,498,474,488,483,487,501,477,491,498,507,666,634,632,624,645,879,838,847,834,861,1173,1117,1100,1038,1062
01041,"Crenshaw County, AL",Crenshaw County,477,456,472,462,479,480,459,475,465,481,621,606,628,612,634,818,773,787,763,789,1029,971,966,904,930
01043,"Cullman County, AL",Cullman County,535,513,536,502,542,566,544,577,563,593,709,674,714,691,729,905,890,962,933,985,977,918,965,936,989
01045,"Dale County, AL",Dale County,438,427,507,527,543,529,516,532,530,546,672,652,668,648,658,943,892,902,877,923,1184,1148,1173,1138,1139
01047,"Dallas County, AL",Dallas County,490,474,543,518,522,529,517,562,533,528,639,606,673,655,686,844,813,871,830,853,1050,933,953,887,930
01049,"DeKalb County, AL",DeKalb County,627,453,472,471,426,631,456,475,474,501,836,606,628,624,646,1050,780,833,835,868,1152,825,849,901,954
01051,"Montgomery, AL MSA",Elmore County,633,631,620,615,685,735,742,743,741,820,886,890,880,876,972,1136,1133,1112,1105,1229,1536,1558,1532,1504,1628
01053,"Escambia County, AL",Escambia County,537,527,497,477,495,563,542,555,541,555,650,623,635,616,656,837,819,847,820,837,923,849,869,909,1025
01055,"Gadsden, AL MSA",Etowah County,573,530,538,563,598,592,533,542,567,602,778,709,717,746,771,973,889,905,944,970,1117,1042,1050,1060,1077
01057,"Fayette County, AL",Fayette County,495,483,492,474,479,538,528,549,538,556,621,606,628,612,634,884,851,841,789,802,887,857,887,878,930
01059,"Franklin County, AL",Franklin County,507,490,497,482,490,536,526,548,534,552,636,615,634,623,649,796,771,794,789,815,908,869,857,844,1068
01061,"Dothan, AL HUD Metro FMR Area",Geneva County,550,572,553,539,579,553,576,557,543,583,710,748,732,714,753,955,1005,972,938,985,1128,1173,1124,1066,1128
01063,"Greene County, AL",Greene County,491,483,492,474,482,494,483,549,538,560,621,606,628,612,638,884,854,884,815,845,887,857,887,837,865
01065,"Tuscaloosa, AL HUD Metro FMR Area",Hale County,602,640,699,768,742,684,704,750,788,747,831,859,900,946,901,1067,1103,1161,1209,1140,1145,1170,1217,1282,1222
01067,"Henry County, AL HUD Metro FMR Area",Henry County,513,570,503,493,511,538,586,561,535,552,621,673,642,630,659,784,844,820,839,892,1094,1185,1128,1106,1141
01069,"Dothan, AL HUD Metro FMR Area",Houston County,550,572,553,539,579,553,576,557,543,583,710,748,732,714,753,955,1005,972,938,985,1128,1173,1124,1066,1128
01071,"Jackson County, AL",Jackson County,422,418,459,446,486,545,542,605,582,609,665,655,715,685,737,832,821,896,854,917,917,892,966,928,1081
01073,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,719,749,763,875,891,812,832,824,937,950,937,955,943,1073,1093,1258,1273,1247,1404,1421,1405,1424,1385,1551,1537
01075,"Lamar County, AL",Lamar County,495,483,492,474,479,515,523,546,538,545,621,606,628,612,634,818,854,908,875,857,887,857,940,878,860
01077,"Florence-Muscle Shoals, AL MSA",Lauderdale County,560,561,564,526,562,564,564,568,597,621,713,713,717,755,801,950,945,943,966,1010,1156,1183,1201,1259,1299
01079,"Decatur, AL MSA",Lawrence County,452,465,473,506,532,545,549,557,575,601,678,703,718,724,741,903,917,927,937,968,947,974,986,1001,1005
01081,"Auburn-Opelika, AL MSA",Lee County,585,598,588,611,634,646,680,674,674,672,859,889,875,878,885,1157,1190,1164,1154,1158,1402,1439,1381,1344,1318
01083,"Huntsville, AL MSA",Limestone County,580,558,635,611,634,665,646,743,711,743,800,768,877,843,883,1088,1034,1175,1121,1172,1410,1353,1540,1480,1492
01085,"Montgomery, AL MSA",Lowndes County,633,631,620,615,685,735,742,743,741,820,886,890,880,876,972,1136,1133,1112,1105,1229,1536,1558,1532,1504,1628
01087,"Macon County, AL",Macon County,472,474,502,508,525,475,477,505,512,527,621,634,668,674,695,904,911,906,840,864,1012,1059,1140,1180,1203
01089,"Huntsville, AL MSA",Madison County,580,558,635,611,634,665,646,743,711,743,800,768,877,843,883,1088,1034,1175,1121,1172,1410,1353,1540,1480,1492
01091,"Marengo County, AL",Marengo County,471,483,492,474,482,474,498,539,538,560,621,606,628,612,638,876,881,908,883,882,887,1067,1103,1075,1105
01093,"Marion County, AL",Marion County,464,453,472,462,479,467,456,475,465,481,621,606,628,612,634,807,804,844,820,857,891,953,1056,1027,1098
01095,"Marshall County, AL",Marshall County,481,492,506,498,524,485,495,510,501,527,644,655,674,660,687,884,889,908,891,916,888,892,911,894,932
01097,"Mobile, AL MSA",Mobile County,778,728,725,743,690,783,733,730,749,707,954,901,909,937,886,1244,1182,1203,1245,1180,1440,1369,1365,1381,1303
01099,"Monroe County, AL",Monroe County,495,483,492,474,479,538,528,549,538,556,621,606,628,612,634,860,769,787,763,789,1046,899,892,876,925
01101,"Montgomery, AL MSA",Montgomery County,633,631,620,615,685,735,742,743,741,820,886,890,880,876,972,1136,1133,1112,1105,1229,1536,1558,1532,1504,1628
01103,"Decatur, AL MSA",Morgan County,452,465,473,506,532,545,549,557,575,601,678,703,718,724,741,903,917,927,937,968,947,974,986,1001,1005
01105,"Perry County, AL",Perry County,507,513,535,522,483,510,528,549,538,561,621,606,628,612,640,884,854,803,778,796,887,857,947,892,951
01107,"Pickens County, AL HUD Metro FMR Area",Pickens County,450,451,478,501,490,467,456,481,504,493,621,606,628,631,634,853,822,846,852,857,856,825,849,855,860
01109,"Pike County, AL",Pike County,584,554,544,502,564,594,558,610,603,638,707,669,709,686,747,971,909,958,930,979,975,911,958,984,1096
01111,"Randolph County, AL",Randolph County,544,435,446,487,479,547,539,573,552,556,717,682,694,629,634,1027,974,1003,861,857,1046,1074,1022,864,860
01113,"Columbus, GA-AL MSA",Russell County,655,672,694,638,697,702,742,771,720,775,841,891,930,849,900,1171,1236,1268,1142,1209,1482,1569,1634,1491,1558
01115,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,719,749,763,875,891,812,832,824,937,950,937,955,943,1073,1093,1258,1273,1247,1404,1421,1405,1424,1385,1551,1537
01117,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,719,749,763,875,891,812,832,824,937,950,937,955,943,1073,1093,1258,1273,1247,1404,1421,1405,1424,1385,1551,1537
01119,"Sumter County, AL",Sumter County,567,558,580,576,604,570,562,584,580,623,758,747,772,764,800,948,937,967,952,995,1045,1017,1044,1035,1085
01121,"Talladega County, AL",Talladega County,535,494,535,518,543,539,497,538,522,546,716,661,712,687,719,989,897,932,884,937,1027,922,978,972,1053
